manufacturer	model	displacement	year	cylinders	transmission	drive	city	highway	fuel	class
audi	a4	1.8	1999	4	auto(l5)	front	18	29	premium	compact
audi	a4	1.8	1999	4	manual(m5)	front	21	29	premium	compact
audi	a4	2	2008	4	manual(m6)	front	20	31	premium	compact
audi	a4	2	2008	4	auto(av)	front	21	30	premium	compact
audi	a4	2.8	1999	6	auto(l5)	front	16	26	premium	compact
audi	a4	2.8	1999	6	manual(m5)	front	18	26	premium	compact
audi	a4	3.1	2008	6	auto(av)	front	18	27	premium	compact
audi	a4 quattro	1.8	1999	4	manual(m5)	4wd	18	26	premium	compact
audi	a4 quattro	1.8	1999	4	auto(l5)	4wd	16	25	premium	compact
audi	a4 quattro	2	2008	4	manual(m6)	4wd	20	28	premium	compact
audi	a4 quattro	2	2008	4	auto(s6)	4wd	19	27	premium	compact
audi	a4 quattro	2.8	1999	6	auto(l5)	4wd	15	25	premium	compact
audi	a4 quattro	2.8	1999	6	manual(m5)	4wd	17	25	premium	compact
audi	a4 quattro	3.1	2008	6	auto(s6)	4wd	17	25	premium	compact
audi	a4 quattro	3.1	2008	6	manual(m6)	4wd	15	25	premium	compact
audi	a6 quattro	2.8	1999	6	auto(l5)	4wd	15	24	premium	midsize
audi	a6 quattro	3.1	2008	6	auto(s6)	4wd	17	25	premium	midsize
audi	a6 quattro	4.2	2008	8	auto(s6)	4wd	16	23	premium	midsize
chevrolet	c1500 suburban 2wd	5.3	2008	8	auto(l4)	rear	14	20	regular	suv
chevrolet	c1500 suburban 2wd	5.3	2008	8	auto(l4)	rear	11	15	ethanol	suv
chevrolet	c1500 suburban 2wd	5.3	2008	8	auto(l4)	rear	14	20	regular	suv
chevrolet	c1500 suburban 2wd	5.7	1999	8	auto(l4)	rear	13	17	regular	suv
chevrolet	c1500 suburban 2wd	6	2008	8	auto(l4)	rear	12	17	regular	suv
chevrolet	corvette	5.7	1999	8	manual(m6)	rear	16	26	premium	2seater
chevrolet	corvette	5.7	1999	8	auto(l4)	rear	15	23	premium	2seater
chevrolet	corvette	6.2	2008	8	manual(m6)	rear	16	26	premium	2seater
chevrolet	corvette	6.2	2008	8	auto(s6)	rear	15	25	premium	2seater
chevrolet	corvette	7	2008	8	manual(m6)	rear	15	24	premium	2seater
